date,total_cases,new
22/02/2020,1,0
23/02/2020,1,0
24/02/2020,1,4
25/02/2020,5,0
26/02/2020,5,2
27/02/2020,7,1
28/02/2020,8,5
29/02/2020,13,6
01/03/2020,19,8
02/03/2020,27,5
03/03/2020,32,5
04/03/2020,37,3
05/03/2020,40,6
06/03/2020,46,8
07/03/2020,54,11
08/03/2020,65,6
09/03/2020,71,0
10/03/2020,71,0
11/03/2020,71,12
12/03/2020,83,18
13/03/2020,101,9
14/03/2020,110,14
15/03/2020,124,9
16/03/2020,133,21
17/03/2020,154,10
18/03/2020,164,28
19/03/2020,192,16
20/03/2020,208,6
21/03/2020,214,19
22/03/2020,233,33
23/03/2020,266,50
24/03/2020,316,30
25/03/2020,346,36
26/03/2020,382,76
27/03/2020,458,48
28/03/2020,506,41
29/03/2020,547,83
30/03/2020,630,64
31/03/2020,694,34
01/04/2020,728,44
02/04/2020,772,48
03/04/2020,820,58
04/04/2020,878,83
05/04/2020,961,70
06/04/2020,1031,91
07/04/2020,1122,80
08/04/2020,1202,30
09/04/2020,1232,47
10/04/2020,1279,39
11/04/2020,1318,34
12/04/2020,1352,26
13/04/2020,1378,22
14/04/2020,1400,15
15/04/2020,1415,19
16/04/2020,1434,48
17/04/2020,1482,31
18/04/2020,1513,26
19/04/2020,1539,35
20/04/2020,1574,28
21/04/2020,1602,29
22/04/2020,1631,46
23/04/2020,1677,31
24/04/2020,1708,55
25/04/2020,1763,57
26/04/2020,1820,27
27/04/2020,1847,81
28/04/2020,1928,75
29/04/2020,2003,82
30/04/2020,2085,68
01/05/2020,2153,66
02/05/2020,2219,77
03/05/2020,2296,50
04/05/2020,2346,85
05/05/2020,2431,49
06/05/2020,2480,63
07/05/2020,2543,60
08/05/2020,2603,76
09/05/2020,2679,88
10/05/2020,2767,51
11/05/2020,2818,95
12/05/2020,2913,119
13/05/2020,3032,111
14/05/2020,3143,50
15/05/2020,3193,67
16/05/2020,3260,144
17/05/2020,3404,150
18/05/2020,3554,57
19/05/2020,3611,113
20/05/2020,3724,153
21/05/2020,3877,87
22/05/2020,3964,308
23/05/2020,4272,197
24/05/2020,4469,163
25/05/2020,4632,216
26/05/2020,4848,287
27/05/2020,5135,322
28/05/2020,5457,416
29/05/2020,5873,306
30/05/2020,6179,260
31/05/2020,6439,429
01/06/2020,6868,519
02/06/2020,7387,781
03/06/2020,8168,672
04/06/2020,8840,1006
05/06/2020,9846,1252
06/06/2020,11098,1268
07/06/2020,12366,1115
08/06/2020,13481,787
09/06/2020,14268,1146
10/06/2020,15414,1261
11/06/2020,16675,1095
12/06/2020,17770,1180
13/06/2020,18950,1259
14/06/2020,20209,1106
15/06/2020,21315,1385
16/06/2020,22700,1554
17/06/2020,24254,1463
18/06/2020,25717,1635
19/06/2020,27352,1870
20/06/2020,29222,1646
21/06/2020,30868,1808
22/06/2020,32676,1826
23/06/2020,34502,2200
24/06/2020,36702,2437
25/06/2020,39139,2054
26/06/2020,41193,2169
27/06/2020,43362,2040
28/06/2020,45402,1749
29/06/2020,47151,1958
30/06/2020,49109,2418
01/07/2020,51527,2181
02/07/2020,53708,2312
03/07/2020,56020,2334
04/07/2020,58354,2125
05/07/2020,60479,1796
06/07/2020,62275,2426
07/07/2020,64701,2741
08/07/2020,67442,2170
09/07/2020,69612,2848
10/07/2020,72460,2734
11/07/2020,75194,2312
12/07/2020,77506,2229
13/07/2020,79735,2022
14/07/2020,81757,2110
15/07/2020,83867,2281
16/07/2020,86148,2023
17/07/2020,88171,2049
18/07/2020,90220,2310
19/07/2020,92530,2163
20/07/2020,94693,2466
21/07/2020,97159,2706
22/07/2020,99865,2361
23/07/2020,102226,2485
24/07/2020,104711,2862
25/07/2020,107573,2459
26/07/2020,110032,2553
27/07/2020,112585,2747
28/07/2020,115332,2968
29/07/2020,118300,2963
30/07/2020,121263,3346
31/07/2020,124609,2095
01/08/2020,126704,2447
02/08/2020,129151,2735
03/08/2020,131886,2836
04/08/2020,134722,2834
05/08/2020,137556,3047
06/08/2020,140603,3461
07/08/2020,144064,3325
08/08/2020,147389,3189
09/08/2020,150115,3053
10/08/2020,153599,2917
11/08/2020,156995,2781
12/08/2020,160436,2645
13/08/2020,164277,2509
14/08/2020,168290,2373
15/08/2020,172583,2237
16/08/2020,176931,
